央卫,#genre#
CCTV1综合,http://47.119.24.76:59093/608807420
CCTV2财经,http://47.119.24.76:59093/631780532
CCTV3综艺,http://47.119.24.76:59093/624878271
CCTV4中文国际,http://47.119.24.76:59093/631780421
CCTV5体育,http://47.119.24.76:59093/641886683
CCTV5+体育赛事,http://47.119.24.76:59093/641886773
CCTV6电影,http://47.119.24.76:59093/624878396
CCTV7国防军事,http://47.119.24.76:59093/673168121
CCTV8电视剧,http://47.119.24.76:59093/624878356
CCTV9纪录,http://47.119.24.76:59093/673168140
CCTV10科教,http://47.119.24.76:59093/624878405
CCTV11戏曲,http://47.119.24.76:59093/667987558
CCTV12社会与法,http://47.119.24.76:59093/673168185
CCTV13新闻,http://47.119.24.76:59093/608807423
CCTV14少儿,http://47.119.24.76:59093/624878440
CCTV15音乐,http://47.119.24.76:59093/673168223
CCTV17农业农村,http://47.119.24.76:59093/673168256
CCTV4欧洲,http://47.119.24.76:59093/608807419
CCTV4美洲,http://47.119.24.76:59093/608807416
CGTN外语纪录,http://47.119.24.76:59093/609006487
CGTN阿拉伯语,http://47.119.24.76:59093/609154345
CGTN西班牙语,http://47.119.24.76:59093/609006450
CGTN法语,http://47.119.24.76:59093/609006476
CGTN俄语,http://47.119.24.76:59093/609006446
老故事,http://47.119.24.76:59093/884121956
发现之旅,http://47.119.24.76:59093/624878970
中学生,http://47.119.24.76:59093/708869532
CGTN,http://47.119.24.76:59093/609017205
赛事最经典,http://47.119.24.76:59093/646596895
体坛名栏汇,http://47.119.24.76:59093/629943305
四海钓鱼,http://47.119.24.76:59093/637444975
陕西体育休闲频道,http://47.119.24.76:59093/956909356
武术世界,http://47.119.24.76:59093/958475359
快乐垂钓,http://47.119.24.76:59093/961930263
卫视,#genre#
湖南卫视,http://58.56.162.102:4466/newlive/live/hls/18/live.m3u8
江苏卫视,http://58.56.162.102:4466/newlive/live/hls/19/live.m3u8
北京卫视,http://58.56.162.102:4466/newlive/live/hls/20/live.m3u8
安徽卫视,http://58.56.162.102:4466/newlive/live/hls/21/live.m3u8
东方卫视,http://58.56.162.102:4466/newlive/live/hls/22/live.m3u8
重庆卫视,http://58.56.162.102:4466/newlive/live/hls/23/live.m3u8
深圳卫视,http://58.56.162.102:4466/newlive/live/hls/24/live.m3u8
浙江卫视,http://58.56.162.102:4466/newlive/live/hls/17/live.m3u8
广东卫视,http://58.56.162.102:4466/newlive/live/hls/25/live.m3u8
辽宁卫视,http://58.56.162.102:4466/newlive/live/hls/26/live.m3u8
黑龙江卫视,http://58.56.162.102:4466/newlive/live/hls/27/live.m3u8
东南卫视,http://58.56.162.102:4466/newlive/live/hls/28/live.m3u8
陕西卫视,http://58.56.162.102:4466/newlive/live/hls/29/live.m3u8
海南卫视,http://58.56.162.102:4466/newlive/live/hls/30/live.m3u8
湖北卫视,http://58.56.162.102:4466/newlive/live/hls/31/live.m3u8
山西卫视,http://58.56.162.102:4466/newlive/live/hls/32/live.m3u8
四川卫视,http://58.56.162.102:4466/newlive/live/hls/33/live.m3u8
湖北卫视,http://58.56.162.102:4466/newlive/live/hls/34/live.m3u8
江西卫视,http://58.56.162.102:4466/newlive/live/hls/35/live.m3u8
吉林卫视,http://58.56.162.102:4466/newlive/live/hls/36/live.m3u8
河南卫视,http://58.56.162.102:4466/newlive/live/hls/37/live.m3u8
广西卫视,http://58.56.162.102:4466/newlive/live/hls/38/live.m3u8
云南卫视,http://58.56.162.102:4466/newlive/live/hls/39/live.m3u8
内蒙古卫视,http://58.56.162.102:4466/newlive/live/hls/40/live.m3u8
贵州卫视,http://58.56.162.102:4466/newlive/live/hls/41/live.m3u8
青海卫视,http://58.56.162.102:4466/newlive/live/hls/42/live.m3u8
宁夏卫视,http://58.56.162.102:4466/newlive/live/hls/43/live.m3u8
新疆卫视,http://58.56.162.102:4466/newlive/live/hls/44/live.m3u8
西藏卫视,http://58.56.162.102:4466/newlive/live/hls/45/live.m3u8
甘肃卫视,http://58.56.162.102:4466/newlive/live/hls/46/live.m3u8
山东卫视,http://58.56.162.102:4466/newlive/live/hls/47/live.m3u8
海南卫视,http://120.10.167.40:1234/947472502
海峡卫视,http://120.10.167.40:1234/849119120
中国农林卫视,http://120.10.167.40:1234/956904896
兵团卫视,http://120.10.167.40:1234/956923145
宁夏卫视,http://120.10.167.40:1234/738910535
重庆卫视,http://120.10.167.40:1234/738910914
三沙卫视,http://120.10.167.40:1234/961023778
天津卫视,http://fn.allans.eu.org:8266/rtp/239.253.92.91:8021
深圳卫视,http://fn.allans.eu.org:8266/rtp/239.253.92.86:8017
大湾区卫视,http://198.204.228.26/live/nfws.m3u8
厦门卫视,http://198.204.228.26/live/xmws.m3u8
赛事回放,#genre#
BWF 陈雨菲、王祉怡晋级四强 【回放】陈雨菲2-0李美妙（鸿昆） 03:00,http://47.119.24.76:59093/963444573
BWF 陈雨菲、王祉怡晋级四强 【回放】阿迪安托/拉赫马特0-2陈柏阳/刘毅（刘钟鸣） 03:00,http://47.119.24.76:59093/963446536
BWF 陈雨菲、王祉怡晋级四强 【回放】西亚纳维/马尔瓦1-2郭新娃/陈芳卉（鸿昆） 03:00,http://47.119.24.76:59093/963446137
BWF 陈雨菲、王祉怡晋级四强 【回放】吉凯尔/德尔吕2-0蒋振邦/魏雅欣（刘钟鸣） 03:00,http://47.119.24.76:59093/963444536
BWF 陈雨菲、王祉怡晋级四强 【回放】小波波夫0-2林俊易 03:00,http://47.119.24.76:59093/963448784
BWF 陈雨菲、王祉怡晋级四强 【回放】法汉0-2昆拉武特 03:00,http://47.119.24.76:59093/963446147
BWF 陈雨菲、王祉怡晋级四强 【回放】安洗莹2-0瓦尔达尼（鸿昆） 03:00,http://47.119.24.76:59093/963447071
BWF 陈雨菲、王祉怡晋级四强 【回放】万炜聪/郑凯文1-2谢定峰/苏伟译（鸿昆） 03:00,http://47.119.24.76:59093/963448607
BWF 陈雨菲、王祉怡晋级四强 【回放】叶宏蔚/詹又蓁2-0帕克卡波/沙西丽 03:00,http://47.119.24.76:59093/963449364
BWF 陈雨菲、王祉怡晋级四强 【回放】福岛由纪/松本麻佑0-2白荷娜/李绍希 03:00,http://47.119.24.76:59093/963449360
BWF 陈雨菲、王祉怡晋级四强 【回放】拉克什亚2-0李诗沣（孙宁智） 03:00,http://47.119.24.76:59093/963450245
BWF 陈雨菲、王祉怡晋级四强 【回放】库苏马/梅丽莎0-2陈康乐/蒂娜 03:00,http://47.119.24.76:59093/963450251
